정렬No.,출처파일,위치,기기번호,게이트명,표기명,입출구분,공간구분_NM,공간구분_code,세부유형_NM,세부유형_code,Tag_Code,라벨링_활동
1,태깅문,SBL P3,001-01,001-01 정문동 입문 근태리더기,정문동 입문 근태리더기,IN,이동구간,T,출입포인트(IN),2,T2,"식사, 휴게, 출입(IN)"
2,복사본 (공유용) 근무지역 구분 게이트 정보_250710,SBL P3,001-1-1-1,001-1-1-1 정문동 입문 근태리더기,정문동 입문,IN,이동구간,T,출입포인트(IN),2,T2,"식사, 휴게, 출입(IN)"
3,입출문기록(24.6. ~ 25. 6.),SBL P3,001-1-1-1,001-01 정문동 입문 근태리더기,정문동 입문 근태리더기,IN,이동구간,T,출입포인트(IN),2,T2,"식사, 휴게, 출입(IN)"
4,태깅문,SBL P3,003-05,003-05 P3_생산동_정문 SPEED GATE-5 출문,P3_생산동_정문 SPEED GATE-5 출문,OUT,이동구간,T,출입포인트(OUT),3,T3,"식사, 휴게, 출입(OUT)"
5,태깅문,SBL P3,003-05,003-05 P3_생산동_정문 SPEED GATE-5 입문,P3_생산동_정문 SPEED GATE-5 입문,IN,이동구간,T,출입포인트(IN),2,T2,"식사, 휴게, 출입(IN)"
6,태깅문,SBL P3,003-06,003-06 P3_생산동_정문 SWING GATE  출문,P3_생산동_정문 SWING GATE  출문,OUT,이동구간,T,출입포인트(OUT),3,T3,"식사, 휴게, 출입(OUT)"
7,태깅문,SBL P3,003-06,003-06 P3_생산동_정문 SWING GATE 입문,P3_생산동_정문 SWING GATE 입문,IN,이동구간,T,출입포인트(IN),2,T2,"식사, 휴게, 출입(IN)"
8,복사본 (공유용) 근무지역 구분 게이트 정보_250710,SBL P3,003-1-1-1,003-01 P3_생산동_정문 SPEED GATE-1 입문,P3_생산동_정문 SPEED GATE-1 입문,IN,이동구간,T,출입포인트(IN),2,T2,"식사, 휴게, 출입(IN)"
9,복사본 (공유용) 근무지역 구분 게이트 정보_250710,SBL P3,003-1-2-2,003-01 P3_생산동_정문 SPEED GATE-1 출문,P3_생산동_정문 SPEED GATE-1 출문,OUT,이동구간,T,출입포인트(OUT),3,T3,"식사, 휴게, 출입(OUT)"
10,복사본 (공유용) 근무지역 구분 게이트 정보_250710,SBL P3,003-2-1-1,003-02 P3_생산동_정문 SPEED GATE-2 입문,P3_생산동_정문 SPEED GATE-2 입문,IN,이동구간,T,출입포인트(IN),2,T2,"식사, 휴게, 출입(IN)"
11,복사본 (공유용) 근무지역 구분 게이트 정보_250710,SBL P3,003-2-2-2,003-02 P3_생산동_정문 SPEED GATE-2 출문,P3_생산동_정문 SPEED GATE-2 출문,OUT,이동구간,T,출입포인트(OUT),3,T3,"식사, 휴게, 출입(OUT)"
12,복사본 (공유용) 근무지역 구분 게이트 정보_250710,SBL P3,003-3-1-1,003-03 P3_생산동_정문 SPEED GATE-3 입문,P3_생산동_정문 SPEED GATE-3 입문,IN,이동구간,T,출입포인트(IN),2,T2,"식사, 휴게, 출입(IN)"
13,복사본 (공유용) 근무지역 구분 게이트 정보_250710,SBL P3,003-3-2-2,003-03 P3_생산동_정문 SPEED GATE-3 출문,P3_생산동_정문 SPEED GATE-3 출문,OUT,이동구간,T,출입포인트(OUT),3,T3,"식사, 휴게, 출입(OUT)"
14,복사본 (공유용) 근무지역 구분 게이트 정보_250710,SBL P3,003-4-1-1,003-04 P3_생산동_정문 SPEED GATE-4 입문,P3_생산동_정문 SPEED GATE-4 입문,IN,이동구간,T,출입포인트(IN),2,T2,"식사, 휴게, 출입(IN)"
15,복사본 (공유용) 근무지역 구분 게이트 정보_250710,SBL P3,003-4-2-2,003-04 P3_생산동_정문 SPEED GATE-4 출문,P3_생산동_정문 SPEED GATE-4 출문,OUT,이동구간,T,출입포인트(OUT),3,T3,"식사, 휴게, 출입(OUT)"
16,복사본 (공유용) 근무지역 구분 게이트 정보_250710,SBL P3,003-5-1-1,003-05 P3_생산동_정문 SWING GATE 입문,P3_생산동_정문 SWING GATE 입문,IN,이동구간,T,출입포인트(IN),2,T2,"식사, 휴게, 출입(IN)"
17,입출문기록(24.6. ~ 25. 6.),SBL P3,003-5-1-1,003-05 P3_생산동_정문 SPEED GATE-5 입문,P3_생산동_정문 SPEED GATE-5 입문,IN,이동구간,T,출입포인트(IN),2,T2,"식사, 휴게, 출입(IN)"
18,복사본 (공유용) 근무지역 구분 게이트 정보_250710,SBL P3,003-5-2-2,003-05 P3_생산동_정문 SWING GATE 출문,P3_생산동_정문 SWING GATE 출문,OUT,이동구간,T,출입포인트(OUT),3,T3,"식사, 휴게, 출입(OUT)"
19,입출문기록(24.6. ~ 25. 6.),SBL P3,003-5-2-2,003-05 P3_생산동_정문 SPEED GATE-5 출문,P3_생산동_정문 SPEED GATE-5 출문,OUT,이동구간,T,출입포인트(OUT),3,T3,"식사, 휴게, 출입(OUT)"
20,복사본 (공유용) 근무지역 구분 게이트 정보_250710,SBL P3,003-6-1-1,003-06 P4_생산동_정문 SWING GATE 입문,P4_생산동_정문 SWING GATE 입문,IN,이동구간,T,출입포인트(IN),2,T2,"식사, 휴게, 출입(IN)"
21,입출문기록(24.6. ~ 25. 6.),SBL P3,003-6-1-1,003-06 P3_생산동_정문 SWING GATE 입문,P3_생산동_정문 SWING GATE 입문,IN,이동구간,T,출입포인트(IN),2,T2,"식사, 휴게, 출입(IN)"
22,복사본 (공유용) 근무지역 구분 게이트 정보_250710,SBL P3,003-6-2-2,003-06 P4_생산동_정문 SWING GATE 출문,P4_생산동_정문 SWING GATE 출문,OUT,이동구간,T,출입포인트(OUT),3,T3,"식사, 휴게, 출입(OUT)"
23,입출문기록(24.6. ~ 25. 6.),SBL P3,003-6-2-2,003-06 P3_생산동_정문 SWING GATE  출문,P3_생산동_정문 SWING GATE  출문,OUT,이동구간,T,출입포인트(OUT),3,T3,"식사, 휴게, 출입(OUT)"
24,입출문기록(24.6. ~ 25. 6.),SBL P2,005-23-1-1,005-23_P2_생산동 DS 화재 컨트롤러,P2_생산동 DS 화재 컨트롤러,-,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
25,태깅문,SBL P1,010-01,010-01 RD-1401 1F 세포주보관실,RD-1401 1F 세포주보관실,IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
