center,bu,team,employee_count,location_fixity,movement_complexity,data_density,external_activity,cluster,reliability_score,correction_factor,correction_type
"CDO개발센터",-,"ADC개발팀",24,6.9732641660016,9.375,20.8833333333333,13.2282521947326,1,0.346643056664006,0.88,very_extended
"CDO개발센터",-,"CDO개발센터",3,17.6271186440678,31.6666666666667,14.75,10.7344632768362,0,0.365508474576271,0.893101694915254,extended
"CDO개발센터",-,"CDO지원그룹",10,20.0815116709893,13.6,13.495,14.6350500185254,1,0.350226046683957,0.890045209336791,extended
"CDO개발센터",-,"CMC Support팀",61,16.1007292616226,4.24590163934426,14.3868852459016,13.6907474931632,1,0.524763572784195,0.92,standard
"CDO개발센터",-,"항체배양PD팀",40,15.5924101969873,6.1,17.26,14.6581691772885,1,0.479369640787949,0.91587392815759,extended
"CDO개발센터",-,"항체정제PD팀",40,14.8680663344498,5.175,15.30125,13.3567518993546,1,0.504222265337799,0.92,standard
"EPCV센터",-,"EPCV센터",3,79.3203883495146,36.6666666666667,17.1666666666667,33.8834951456311,4,0.617281553398058,0.92,standard
"EPCV센터",-,"EPM팀",60,88.120460748485,9.11666666666667,18.0141666666667,18.3050377018088,2,0.67898184299394,0.925796368598788,minimal
"EPCV센터",-,"안전환경팀",63,65.316602176979,16.4444444444444,21.9468253968254,18.797237189455,2,0.561266408707916,0.92,standard
"EPCV센터","E&F담당","Corporate Engineering팀",37,81.5452930728242,6.67567567567568,15.2162162162162,36.4476021314387,4,0.725910902021026,0.935182180404205,minimal
"EPCV센터","E&F담당","E&F담당",3,88.849765258216,30.0,14.2,19.0140845070423,4,0.639399061032864,0.92,standard
"EPCV센터","E&F담당","Facility Operation팀",211,80.1188773686092,5.96682464454976,26.5118483412322,19.2599213442975,2,0.741470770137944,0.938294154027589,minimal
"EPCV센터","E&F담당","Facility Technology팀",101,74.2502629714703,7.66336633663366,23.0608910891089,25.9064465577571,2,0.667100061786871,0.923420012357374,minimal
"People센터",-,"HR Strategy그룹",5,12.8407026044821,19.6,16.51,22.0472440944882,1,0.351362810417928,0.890272562083586,extended
"People센터",-,"Learning·Development팀",12,21.7383071387995,16.0,22.0041666666667,9.60045445938269,1,0.386953228555198,0.89739064571104,extended
"People센터",-,"People센터",5,63.1444614599285,21.0,19.59,7.35068912710567,1,0.552577845839714,0.92,standard
"People센터",-,"Talent Acquisition팀",16,18.0881511161992,12.9375,21.8375,14.4533485975959,1,0.372352604464797,0.894470520892959,extended
"People센터",-,"정보보호팀",8,36.0082304526749,42.625,15.1875,12.2222222222222,0,0.4440329218107,0.90880658436214,extended
"People센터","인사지원담당","People Experience팀",13,19.8313985627418,19.6153846153846,27.8307692307692,10.5444997236042,1,0.379325594250967,0.895865118850193,extended
"People센터","인사지원담당","Talent Management팀",19,18.7376725838264,8.26315789473684,16.0105263157895,14.8093359631821,1,0.4270559534932,0.90541119069864,extended
"People센터","인사지원담당","인사지원담당",1,8.52459016393443,52.0,15.25,1.63934426229508,0,0.334098360655738,0.88,very_extended
"People센터","인사지원담당","인프라복지팀",18,30.5183659457604,12.7222222222222,24.275,8.68520425677995,1,0.422073463783042,0.904414692756608,extended
"경영지원센터",-,"IR팀",6,17.8670360110803,14.3333333333333,12.0333333333333,19.3213296398892,1,0.312134810710988,0.88,very_extended
"경영지원센터",-,"경영지원센터",1,0.257731958762887,17.0,19.4,0.0,1,0.301030927835052,0.88,very_extended
"경영지원센터",-,"사업전략팀",34,18.0396537280089,5.88235294117647,15.7985294117647,13.8508796425579,1,0.495688026676742,0.919137605335348,extended
"경영지원센터",-,"재경팀",46,17.4227799227799,4.30434782608696,15.7652173913043,15.4371207942637,1,0.540560684908511,0.92,standard
"경영지원센터",-,"준법경영팀",16,21.2751449028299,11.6875,18.33125,10.8080463689056,1,0.385100579611319,0.897020115922264,extended
"경영지원센터",-,"지속가능경영팀",18,21.0568973901767,8.94444444444444,17.1361111111111,14.8322256443508,1,0.415894256227373,0.903178851245475,extended
"경영지원센터","Operational Excellence담당","CSV그룹",10,28.8679245283019,12.9,15.9,9.33962264150943,1,0.415471698113208,0.903094339622642,extended
"경영지원센터","Operational Excellence담당","IT팀",50,32.4611352133044,5.32,22.128,14.2127621113521,1,0.570244540853218,0.92,standard
"경영지원센터","Operational Excellence담당","MES팀",91,60.3050903664401,5.98901098901099,19.8824175824176,12.0295141767534,2,0.661550031795431,0.922310006359086,minimal
"경영지원센터","Operational Excellence담당","OES혁신그룹",11,29.6166432912576,14.4545454545455,19.4454545454545,10.2384291725105,1,0.41846657316503,0.903693314633006,extended
"경영지원센터","Operational Excellence담당","Operational Excellence담당",1,11.2745098039216,50.0,20.4,0.490196078431373,0,0.345098039215686,0.88,very_extended
"경영진단팀",-,"경영진단팀",15,18.4329482672024,10.6,19.91,12.9917964172108,1,0.37373179306881,0.894746358613762,extended
"대표이사",-,"대표이사",1,37.0967741935484,48.0,6.2,5.64516129032258,0,0.272387096774194,0.88,very_extended
"바이오연구소",-,"AI Lab",9,27.9749478079332,15.7777777777778,13.3055555555556,10.0208768267223,1,0.378010902342844,0.895602180468569,extended
"바이오연구소",-,"Bio R&D지원그룹",6,19.979042961928,27.5,23.8583333333333,10.1292350681104,1,0.379916171847712,0.895983234369543,extended
"바이오연구소",-,"GT기술Lab",11,19.115004492363,12.6363636363636,20.2363636363636,6.91823899371069,1,0.376460017969452,0.89529200359389,extended
"바이오연구소",-,"Open Innovation그룹",7,22.4837662337662,15.7142857142857,17.6,4.30194805194805,1,0.389935064935065,0.897987012987013,extended
"바이오연구소",-,"바이오연구소",1,100.0,12.0,1.85,32.4324324324324,4,0.437,0.9074,extended
"바이오연구소",-,"선행공정개발Lab",27,46.2410454223412,8.96296296296296,23.5240740740741,10.9737857199087,1,0.516075292800476,0.92,standard
"바이오연구소",-,"펩타이드 T/F",3,16.1943319838057,21.6666666666667,16.4666666666667,19.2307692307692,1,0.364777327935223,0.892955465587045,extended
"바이오연구소",-,"항체기술Lab",49,19.6671784458422,5.04081632653061,20.6030612244898,7.35971472438215,1,0.52744422398745,0.92,standard
"상생협력센터",-,"구매팀",240,75.0324913827202,2.99583333333333,22.12125,10.7475843363282,2,0.810254965530881,0.968076489659264,very_minimal
"상생협력센터",-,"대외협력팀",4,87.7296587926509,29.0,19.05,11.0892388451444,2,0.650918635170604,0.920183727034121,minimal
"상생협력센터",-,"상생협력센터",1,76.5,52.0,10.0,2.0,0,0.506,0.92,standard
"상생협력센터",-,"커뮤니케이션팀",12,85.995085995086,12.6666666666667,11.8708333333333,18.7083187083187,2,0.581397010647011,0.92,standard
"영업센터",-,"영업센터",2,16.0,35.5,18.75,11.8666666666667,0,0.364,0.8928,extended
"영업센터","NJ Sales Office","CDO Sales팀",1,6.15384615384615,20.0,3.25,3.07692307692308,3,0.0896153846153846,0.88,very_extended
"영업센터","NJ Sales Office","CMO Sales팀",1,0.0,3.0,3.9,0.0,3,0.288,0.88,very_extended
"영업센터","NJ Sales Office","SBA Support그룹",1,0.0,4.0,5.5,0.0,3,0.29,0.88,very_extended
"영업센터","Sales&Operation담당","CDO SE팀",11,28.1903607153683,15.0909090909091,14.9954545454545,14.2164292209761,1,0.412670533770564,0.902534106754113,extended
"영업센터","Sales&Operation담당","CMO SE팀",16,19.4794952681388,10.4375,15.85,15.1616719242902,1,0.377917981072555,0.895583596214511,extended
