center,bu,team,employee_count,p1_ratio,p2_ratio,p3_ratio,p4_ratio,p5_ratio,location_fixity,office_ratio,cafeteria_ratio,movement_complexity,data_density,external_activity,primary_plant,cluster,reliability_score,correction_factor,correction_type
CDO개발센터,-,ADC개발팀,24,4.289704708699122,7.741420590582601,1.656025538707103,5.317238627294493,0.0,13.397845171588187,27.673583399840386,0.0,9.375,20.883333333333333,13.228252194732642,P2,1,0.37234138068635275,0.8944682761372706,extended
CDO개발센터,-,CDO개발센터,3,22.146892655367232,27.231638418079097,5.084745762711865,12.54237288135593,0.0,45.98870056497175,2.3728813559322033,0.0,31.666666666666668,14.75,10.734463276836157,P2,1,0.478954802259887,0.9157909604519774,extended
CDO개발센터,-,CDO지원그룹,10,17.11745090774361,22.341608002964062,9.077436087439793,11.004075583549461,0.0,42.460170433493886,2.037791774731382,0.0,13.6,13.495,14.63505001852538,P2,1,0.4397406817339755,0.9079481363467952,extended
CDO개발센터,-,CMC Support팀,61,19.2228805834093,25.250683682771196,4.802871467639015,11.309252506836827,0.0,38.99840474020055,2.6207839562443027,0.0,4.245901639344262,14.386885245901638,13.690747493163173,P2,1,0.6163542746985071,0.92,standard
CDO개발센터,-,항체배양PD팀,40,13.463209733487833,18.757242178447278,4.598783314020857,11.087775202780996,0.0,33.63991888760139,1.5570683661645424,0.0,6.1,17.259999999999998,14.65816917728853,P2,1,0.5515596755504055,0.92,standard
CDO개발센터,-,항체정제PD팀,40,14.26354056041173,21.02769381586472,3.896740462380525,10.971325872069276,0.0,32.587206927538595,0.841434523323258,0.0,5.175,15.30125,13.356751899354627,P2,1,0.5750988277101544,0.92,standard
EPCV센터,-,EPCV센터,3,4.466019417475728,33.398058252427184,7.864077669902912,70.0,1.4563106796116505,90.19417475728156,4.271844660194175,0.0,36.666666666666664,17.166666666666664,33.88349514563107,P4,5,0.6607766990291262,0.9221553398058253,minimal
EPCV센터,-,EPM팀,60,2.8449831151408613,18.670490817412222,6.656797890549104,55.20192441134293,27.561641300828054,91.7842438821298,13.47087940047185,0.0,9.116666666666667,18.014166666666668,18.305037701808764,P4,6,0.6936369755285192,0.9287273951057039,minimal
EPCV센터,-,안전환경팀,63,7.503706650273026,34.99077857736954,8.400535204136983,39.1132969298087,19.07207174628431,90.39163924348172,4.621560047734423,0.0072324883376125556,16.444444444444443,21.946825396825396,18.797237189455032,P4,6,0.6615665569739269,0.9223133113947855,minimal
EPCV센터,E&F담당,Corporate Engineering팀,37,2.6909413854351687,30.888099467140318,4.431616341030195,75.8259325044405,1.4653641207815276,85.02664298401422,2.5133214920071048,0.0,6.675675675675675,15.216216216216216,36.44760213143872,P4,5,0.7398363016657865,0.9379672603331574,minimal
EPCV센터,E&F담당,E&F담당,3,0.7042253521126761,44.248826291079816,5.985915492957746,84.27230046948357,0.0,97.88732394366197,1.7605633802816902,0.0,30.0,14.2,19.014084507042252,P4,5,0.6755492957746478,0.9251098591549296,minimal
EPCV센터,E&F담당,Facility Operation팀,211,5.527350732928137,17.096889524490525,35.80622095101894,30.94476224526278,16.933321415802645,90.08848766535574,8.939041830532714,0.002681444404719342,5.966824644549763,26.51184834123223,19.259921344297464,P3,6,0.7813492113249301,0.946269842264986,minimal
EPCV센터,E&F담당,Facility Technology팀,101,5.459073052401091,27.005559968228752,9.093446106948887,53.97677264238027,11.648026103943499,88.60313848399632,5.158534229225254,0.0,7.663366336633663,23.06089108910891,25.906446557757125,P4,6,0.7245115638369753,0.9349023127673951,minimal
People센터,-,HR Strategy그룹,5,6.178073894609327,71.59297395517868,6.238643246517262,6.480920654149,0.12113870381586916,81.9503331314355,1.029678982434888,0.0,19.6,16.509999999999998,22.04724409448819,P2,2,0.6278013325257421,0.92,standard
People센터,-,Learning·Development팀,12,12.062109448967998,81.2346146563151,5.28309032380231,16.455216814997158,0.0,92.70971406930506,4.923309979170612,0.0,16.0,22.004166666666666,9.600454459382693,P2,2,0.6708388562772203,0.9241677712554441,minimal
People센터,-,People센터,5,46.86064318529862,84.37978560490046,1.2251148545176112,58.601327207759056,3.3180193976518635,94.94640122511485,0.1531393568147014,0.0,21.0,19.59,7.3506891271056665,P2,2,0.6797856049004594,0.9259571209800919,minimal
People센터,-,Talent Acquisition팀,16,7.713222667429879,77.50429307384087,10.117344018317114,8.028048082427018,0.0,90.2261018889525,0.658271322266743,0.0,12.9375,21.8375,14.453348597595877,P2,2,0.66090440755581,0.9221808815111621,minimal
People센터,-,정보보호팀,8,12.181069958847738,64.44444444444444,12.386831275720164,14.320987654320987,9.753086419753085,91.440329218107,3.45679012345679,0.0,42.625,15.1875,12.222222222222221,P2,3,0.665761316872428,0.9231522633744856,minimal
People센터,인사지원담당,People Experience팀,13,5.845771144278607,78.1370923161968,8.070757324488667,9.342177998894417,3.0265339966832503,94.5411829740188,0.5666113875069099,0.0,19.615384615384617,27.83076923076923,10.544499723604202,P2,2,0.6781647318960753,0.9256329463792151,minimal
People센터,인사지원담당,Talent Management팀,19,9.63182117028271,75.39447731755425,14.414858645627875,4.3228139381985535,0.0,92.1104536489152,0.3780407626561473,0.0,8.263157894736842,16.010526315789473,14.809335963182116,P2,2,0.7205470777535555,0.9341094155507111,minimal
People센터,인사지원담당,인사지원담당,1,6.557377049180328,95.40983606557377,2.2950819672131146,5.573770491803279,0.6557377049180327,99.34426229508196,0.32786885245901637,0.0,52.0,15.25,1.639344262295082,P2,3,0.697377049180328,0.9294754098360656,minimal
People센터,인사지원담당,인프라복지팀,18,3.0667124384941067,66.76965327840713,22.95457146126559,14.658427737727427,1.5676850898272112,93.61483007209063,0.8696647213640005,0.011442956860052637,12.722222222222221,24.275,8.685204256779953,P2,2,0.6744593202883625,0.9248918640576725,minimal
경영지원센터,-,IR팀,6,11.772853185595569,72.09141274238226,14.750692520775624,3.1163434903047094,0.0,87.3961218836565,27.562326869806093,0.0,14.333333333333334,12.033333333333333,19.321329639889196,P2,2,0.5902511542012927,0.92,standard
경영지원센터,-,경영지원센터,1,0.25773195876288657,100.0,0.0,0.25773195876288657,0.0,100.0,37.628865979381445,0.0,17.0,19.4,0.0,P2,2,0.7,0.93,minimal
경영지원센터,-,사업전략팀,34,14.167364795680909,68.84482919110118,9.503862980545472,8.591641068602812,0.0,82.79810108908127,32.97030624592758,0.0,5.882352941176471,15.798529411764708,13.850879642557945,P2,2,0.754721816121031,0.9409443632242063,minimal
경영지원센터,-,재경팀,46,14.333976833976832,75.57915057915058,11.210700496414782,6.170711527854385,0.05515719801434087,90.1130722559294,35.36265857694429,0.0,4.304347826086956,15.765217391304347,15.43712079426365,P2,2,0.8313218542411089,0.9743965562723327,very_minimal
경영지원센터,-,준법경영팀,16,18.206614387998638,79.90112512785544,9.751108080463688,11.575178997613365,0.0,94.74940334128878,35.08353221957041,0.0,11.6875,18.33125,10.808046368905558,P2,2,0.6789976133651552,0.9257995226730311,minimal
경영지원센터,-,지속가능경영팀,18,17.020586804992703,70.59491003404116,13.454368617279949,7.651159020911007,0.0,91.16550494407521,33.94391311395688,0.0,8.944444444444445,17.136111111111113,14.832225644350785,P2,2,0.6963286864429675,0.9292657372885935,minimal
경영지원센터,Operational Excellence담당,CSV그룹,10,37.0125786163522,77.0754716981132,9.371069182389936,19.49685534591195,0.0,95.44025157232704,28.80503144654088,0.0,12.9,15.9,9.339622641509433,P2,2,0.6817610062893082,0.9263522012578617,minimal
경영지원센터,Operational Excellence담당,IT팀,50,37.69884309472162,68.79519161243674,17.565979754157627,14.849963846710052,0.09490238611713665,94.78488792480115,25.858640636297903,0.0,5.32,22.128,14.212762111352134,P2,2,0.8195395516992047,0.9708618655097614,very_minimal
경영지원센터,Operational Excellence담당,MES팀,91,17.147515613773283,45.30481401647046,11.487868236334494,44.59735809429061,5.104183938539767,93.68816669430167,24.49289780578124,0.0,5.989010989010989,19.88241758241758,12.029514176753441,P2,2,0.795082337106877,0.9490164674213755,minimal
경영지원센터,Operational Excellence담당,OES혁신그룹,11,36.30201028517999,74.73118279569893,8.20476858345021,21.458625525946704,0.0,95.30154277699859,26.60121552127162,0.0,14.454545454545455,19.445454545454545,10.238429172510518,P2,2,0.6812061711079944,0.9262412342215989,minimal
경영지원센터,Operational Excellence담당,Operational Excellence담당,1,37.745098039215684,96.07843137254902,0.0,9.803921568627452,1.4705882352941175,99.75490196078431,38.23529411764706,0.0,50.0,20.4,0.49019607843137253,P2,3,0.6990196078431372,0.9298039215686275,minimal
경영진단팀,-,경영진단팀,15,75.28879959819186,13.962832747363136,11.719403984597355,6.7302862882973375,0.0,92.73396952954964,63.90423572744015,0.0,10.6,19.91,12.991796417210782,P1,1,0.6709358781181987,0.9241871756236397,minimal
대표이사,-,대표이사,1,18.548387096774192,83.87096774193549,0.8064516129032258,34.67741935483871,1.6129032258064515,100.0,8.064516129032258,0.0,48.0,6.2,5.64516129032258,P2,3,0.524,0.92,standard
바이오연구소,-,AI Lab,9,61.085594989561585,60.96033402922756,12.69311064718163,15.281837160751566,0.0,93.15240083507307,1.544885177453027,0.0,15.777777777777779,13.305555555555554,10.020876826722338,P1,1,0.6387207144514033,0.92,standard
