center,bu,team,employee_count,total_tags,unique_tags,t1_tag_count,t1_users,t1_ratio,g3_tag_count,g3_users,g3_ratio,gate_tag_count,gate_users,gate_ratio,tag_0_count,tag_1_count,tag_2_count,tag_3_count,tag_4_count,tag_5_count,tag_6_count,tag_7_count,tag_8_count,tag_9_count,knox_tag_count,knox_users,knox_usage_ratio,o_tag_count,eam_count,lams_count,mes_count,equis_count,mdm_count,tag_diversity,tags_per_person,movement_complexity,cluster,reliability_score,correction_factor,correction_type
CDO개발센터,-,ADC개발팀,24,10024,226,471,24,4.7,1,1,0.0,4983,24,49.7,192,2,11,5,87,6872,232,2623,0,0,176,25,104.2,2518,65,0,0,1030,1423,9.4,417.7,9.4,,0.729,0.9358000000000001,minimal
CDO개발센터,-,CDO개발센터,3,885,96,134,3,15.1,0,0,0.0,707,3,79.9,82,0,2,0,18,0,98,685,0,0,49,3,100.0,0,0,0,0,0,0,32.0,295.0,31.7,,0.9,0.995,very_minimal
CDO개발센터,-,CDO지원그룹,10,2699,137,437,10,16.2,0,0,0.0,2386,10,88.4,176,0,2,0,146,0,104,2271,0,0,118,10,100.0,89,0,0,0,12,77,13.7,269.9,13.6,,0.8055,0.96665,very_minimal
CDO개발센터,-,CMC Support팀,61,17552,260,3874,60,22.1,111,25,0.6,12790,60,72.9,582,0,32,175,3647,21,509,12399,187,0,334,60,98.4,4995,228,0,0,3241,1526,4.3,287.7,4.2,,0.5485,0.92,standard
CDO개발센터,-,항체배양PD팀,40,13808,245,3596,40,26.0,54,12,0.4,9586,40,69.4,522,7,222,86,3348,15,316,9292,0,0,369,40,100.0,2481,125,0,0,1787,569,6.1,345.2,6.1,,0.6134999999999999,0.92,standard
CDO개발센터,-,항체정제PD팀,40,12241,208,2299,40,18.8,44,6,0.4,8081,40,66.0,356,0,13,69,3654,17,312,7820,0,0,204,40,100.0,3492,206,0,0,1806,1480,5.2,306.0,5.2,,0.582,0.92,standard
EPCV센터,E&F담당,Corporate Engineering팀,37,11260,249,4454,37,39.6,5,4,0.0,8682,37,77.1,288,7,182,48,41,1892,525,8277,0,0,383,37,100.0,1278,20,0,12,1246,0,6.7,304.3,6.7,,0.6345,0.92,standard
EPCV센터,E&F담당,E&F담당,3,852,90,386,3,45.3,1,1,0.1,595,3,69.8,31,0,7,5,2,165,69,573,0,0,25,3,100.0,37,2,0,0,35,0,30.0,284.0,30.0,,0.9,0.995,very_minimal
EPCV센터,-,EPCV센터,3,1030,111,345,3,33.5,1,1,0.1,757,3,73.5,48,14,37,3,1,160,55,712,0,0,20,3,100.0,4,0,0,0,4,0,37.0,343.3,36.7,,0.9,0.995,very_minimal
EPCV센터,-,EPM팀,60,21617,548,7910,60,36.6,39,9,0.2,14397,60,66.6,1124,195,1351,126,232,8250,412,9927,0,0,578,60,100.0,1794,644,0,0,929,221,9.1,360.3,9.1,,0.7185,0.9337000000000001,minimal
EPCV센터,E&F담당,Facility Operation팀,211,111880,1265,21121,211,18.9,27,13,0.0,64396,211,57.6,25243,1229,3740,2789,1728,26687,1471,48993,0,0,742,211,100.0,32533,18051,0,0,8595,5887,6.0,530.2,6.0,,0.61,0.92,standard
EPCV센터,E&F담당,Facility Technology팀,101,46583,776,12847,101,27.6,51,14,0.1,29754,101,63.9,4031,685,2266,1110,1342,10338,827,25984,0,0,409,101,100.0,59356,48590,0,353,3990,6423,7.7,461.2,7.7,,0.6695,0.9239,minimal
EPCV센터,-,안전환경팀,63,27653,1039,7580,63,27.4,19,11,0.1,18090,63,65.4,4133,221,738,244,168,7729,422,13998,0,0,749,63,100.0,2610,1399,0,0,1036,175,16.5,438.9,16.4,,0.8475,0.9792500000000001,very_minimal
People센터,-,HR Strategy그룹,5,1651,98,117,5,7.1,0,0,0.0,1143,5,69.2,526,0,6,0,2,4,37,1076,0,0,4,5,100.0,1,0,0,0,1,0,19.6,330.2,19.6,,0.894,0.9932000000000001,very_minimal
People센터,-,Learning·Development팀,12,5281,192,698,12,13.2,3,3,0.1,3112,12,58.9,1661,0,9,1,3,16,763,2828,0,0,115,12,100.0,1547,28,0,0,133,1386,16.0,440.1,16.0,,0.84,0.977,very_minimal
People센터,인사지원담당,People Experience팀,13,7236,257,641,13,8.9,1,1,0.0,3666,13,50.7,3493,31,7,16,7,226,229,3227,0,0,52,13,100.0,616,136,0,0,37,443,19.8,556.6,19.6,,0.8969999999999999,0.9941,very_minimal
People센터,-,People센터,5,1959,105,206,5,10.5,0,0,0.0,612,5,31.2,354,0,0,0,0,65,975,565,0,0,5,4,80.0,0,0,0,0,0,0,21.0,391.8,21.0,,0.9,0.995,very_minimal
People센터,-,Talent Acquisition팀,16,6988,208,643,16,9.2,9,5,0.1,3907,16,55.9,3015,0,9,21,6,6,379,3552,0,0,35,16,100.0,0,0,0,0,0,0,13.0,436.8,12.9,,0.795,0.9490000000000001,minimal
People센터,인사지원담당,Talent Management팀,19,6084,158,694,18,11.4,2,2,0.0,3855,19,63.4,2570,0,13,2,2,6,102,3389,0,0,30,18,94.7,27,0,0,0,0,27,8.3,320.2,8.3,,0.6905,0.9281,minimal
People센터,인사지원담당,인사지원담당,1,305,52,23,1,7.5,0,0,0.0,147,1,48.2,139,0,0,0,0,3,29,134,0,0,2,1,100.0,0,0,0,0,0,0,52.0,305.0,52.0,,0.9,0.995,very_minimal
People센터,인사지원담당,인프라복지팀,18,8739,230,499,17,5.7,11,3,0.1,4728,18,54.1,3559,2,372,8,2,146,260,4390,0,0,46,13,72.2,3,0,0,0,3,0,12.8,485.5,12.7,,0.7919999999999999,0.9484,minimal
People센터,-,정보보호팀,8,2430,342,424,8,17.4,2,1,0.1,1921,8,79.1,414,1,24,10,0,275,183,1521,0,2,86,8,100.0,35,0,0,0,29,6,42.8,303.8,42.6,,0.9,0.995,very_minimal
경영지원센터,Operational Excellence담당,CSV그룹,10,3180,129,1571,10,49.4,29,3,0.9,2087,10,65.6,1037,2,26,35,10,3,131,1936,0,0,91,10,100.0,577,19,0,0,558,0,12.9,318.0,12.9,,0.7935,0.9487,minimal
경영지원센터,-,IR팀,6,1444,86,156,6,10.8,5,3,0.3,977,6,67.7,502,0,0,17,0,0,46,879,0,0,56,6,100.0,0,0,0,0,0,0,14.3,240.7,14.3,,0.8144999999999999,0.96935,very_minimal
경영지원센터,Operational Excellence담당,IT팀,50,22128,266,10313,50,46.6,14,9,0.1,15474,50,69.9,7501,17,350,53,67,64,498,13578,0,0,726,50,100.0,9586,91,0,0,1893,7602,5.3,442.6,5.3,,0.5855,0.92,standard
경영지원센터,Operational Excellence담당,MES팀,91,36186,546,13793,91,38.1,104,14,0.3,20254,91,56.0,6729,408,1127,270,349,8577,1039,17687,0,0,728,91,100.0,14150,3861,0,938,8789,562,6.0,397.6,6.0,,0.61,0.92,standard
