center,bu,team,employee_count,total_tags,unique_tags,g1_count,g2_count,g3_count,g4_count,n1_count,n2_count,t1_count,t2_count,t3_count,m1_count,m2_count,knox_total_count,knox_approval_count,knox_pims_count,knox_mail_count,o_tag_count,eam_count,lams_count,mes_count,equis_count,mdm_count,tag_diversity,tags_per_person,movement_complexity,cluster,reliability_score,correction_factor,correction_type
CDO개발센터,-,ADC개발팀,24,10024,226,7863,1410,1,162,0,117,471,0,0,0,0,0,0,0,0,2640,108,0,0,541,1991,9.4,417.7,9.4,3,0.729,0.9358000000000001,minimal
CDO개발센터,-,CDO개발센터,3,885,96,647,0,0,26,0,78,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,295.0,31.7,4,0.9,0.995,very_minimal
CDO개발센터,-,CDO지원그룹,10,2699,137,2119,0,0,100,8,35,437,0,0,0,0,0,0,0,0,28,0,0,0,28,0,13.7,269.9,13.6,4,0.8055,0.96665,very_minimal
CDO개발센터,-,CMC Support팀,61,17552,260,12814,2,111,572,22,157,3874,0,0,0,0,0,0,0,0,3150,114,0,0,1540,1496,4.3,287.7,4.2,3,0.5485,0.92,standard
CDO개발센터,-,항체배양PD팀,40,13808,245,9646,0,54,366,42,104,3596,0,0,0,0,0,0,0,0,1301,47,0,0,847,407,6.1,345.2,6.1,3,0.6134999999999999,0.92,standard
CDO개발센터,-,항체정제PD팀,40,12241,208,9430,0,44,344,18,106,2299,0,0,0,0,0,0,0,0,2786,116,0,0,859,1811,5.2,306.0,5.2,3,0.582,0.92,standard
EPCV센터,E&F담당,Corporate Engineering팀,37,11260,249,6333,7,5,93,23,345,4454,0,0,0,0,0,0,0,0,689,0,0,46,643,0,6.7,304.3,6.7,3,0.6345,0.92,standard
EPCV센터,E&F담당,E&F담당,3,852,90,402,0,1,8,0,55,386,0,0,0,0,0,0,0,0,7,0,0,0,7,0,30.0,284.0,30.0,4,0.9,0.995,very_minimal
EPCV센터,-,EPCV센터,3,1030,111,641,0,1,8,0,35,345,0,0,0,0,0,0,0,0,2,0,0,0,2,0,37.0,343.3,36.7,4,0.9,0.995,very_minimal
EPCV센터,-,EPM팀,60,21617,548,13234,102,39,51,0,281,7910,0,0,0,0,0,0,0,0,757,361,0,0,393,3,9.1,360.3,9.1,3,0.7185,0.9337000000000001,minimal
EPCV센터,E&F담당,Facility Operation팀,211,111880,1265,88024,1413,27,378,31,886,21121,0,0,0,0,0,0,0,0,13087,9049,0,0,2884,1154,6.0,530.2,6.0,1,0.61,0.92,standard
EPCV센터,E&F담당,Facility Technology팀,101,46583,776,32474,399,51,299,20,493,12847,0,0,0,0,0,0,0,0,32651,28426,0,154,1848,2223,7.7,461.2,7.7,1,0.6695,0.9239,minimal
EPCV센터,-,안전환경팀,63,27653,1039,19574,40,19,221,30,189,7580,0,0,0,0,0,0,0,0,819,249,0,24,492,54,16.5,438.9,16.4,3,0.8475,0.9792500000000001,very_minimal
People센터,-,HR Strategy그룹,5,1651,98,1502,0,0,2,0,30,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.6,330.2,19.6,4,0.894,0.9932000000000001,very_minimal
People센터,-,Learning·Development팀,12,5281,192,3833,1,3,660,48,38,698,0,0,0,0,0,0,0,0,582,10,0,0,91,481,16.0,440.1,16.0,3,0.84,0.977,very_minimal
People센터,인사지원담당,People Experience팀,13,7236,257,6234,2,1,229,18,111,641,0,0,0,0,0,0,0,0,187,0,0,0,15,172,19.8,556.6,19.6,3,0.8969999999999999,0.9941,very_minimal
People센터,-,People센터,5,1959,105,1691,0,0,8,0,54,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0,391.8,21.0,4,0.9,0.995,very_minimal
People센터,-,Talent Acquisition팀,16,6988,208,5673,0,9,519,36,108,643,0,0,0,0,0,0,0,0,1226,0,0,0,0,1226,13.0,436.8,12.9,3,0.795,0.9490000000000001,minimal
People센터,인사지원담당,Talent Management팀,19,6084,158,5273,0,2,61,4,50,694,0,0,0,0,0,0,0,0,87,0,0,0,0,87,8.3,320.2,8.3,4,0.6905,0.9281,minimal
People센터,인사지원담당,인사지원담당,1,305,52,258,0,0,6,9,9,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.0,305.0,52.0,4,0.9,0.995,very_minimal
People센터,인사지원담당,인프라복지팀,18,8739,230,7687,1,11,52,411,78,499,0,0,0,0,0,0,0,0,4,0,0,0,4,0,12.8,485.5,12.7,3,0.7919999999999999,0.9484,minimal
People센터,-,정보보호팀,8,2430,342,1923,8,2,27,0,46,424,0,0,0,0,0,0,0,0,9,0,0,0,9,0,42.8,303.8,42.6,4,0.9,0.995,very_minimal
