location_code,location_name,usage_count,tag_code
701-11-2-2,701-11 정문동_정문 SPEED GATE-4 출문,49817,T2
701-8-1-1,701-08 정문동_정문 SPEED GATE-1 입문,45919,T2
701-17-1-1,701-17_P4-BP2 브릿지 S/G #4 입문,34718,T1
701-19-2-2,701-19_P4-BP2 브릿지 S/G #6 출문,31489,T1
701-1-2-2,701-01 P4_생산동_2층브릿지 SPEED GATE-1 출문,27316,T1
003-5-2-2,003-05 P3_생산동_정문 SPEED GATE-5 출문,22494,T2
701-18-2-2,701-18_P4-BP2 브릿지 S/G #5 출문,22395,T1
701-3-1-1,701-03 P4_생산동_2층브릿지 SPEED GATE-3 입문,21834,T1
701-17-2-2,701-17_P4-BP2 브릿지 S/G #4 출문,21665,T1
701-9-1-1,701-09 정문동_정문 SPEED GATE-2 입문,21086,T2
701-18-1-1,701-18_P4-BP2 브릿지 S/G #5 입문,19805,T1
014-37-1-1,014-37 W1-2124(배양/정제 사무실),18551,G1
700-65-1-1,700-65_P4 정문동 방향 S/G #3 입문,17811,T2
025-2-1-1,025-02-01-01 P2_DP동_4층_AD-4101(사무실),17712,G1
700-38-2-2,700-38_P2 바이오프라자 방향 S/G #3	 출문,16978,T3
701-21-1-1,701-21_P1-BP2 브릿지 S/G #1 입문,16763,T1
025-3-1-1,025-03-01-01 P2_DP동_4층_AD-4171(복도),16724,T1
003-1-1-1,003-01 P3_생산동_정문 SPEED GATE-1 입문,15263,T2
701-10-2-2,701-10 정문동_정문 SPEED GATE-3 출문,15248,T2
29-34-1-1,029-34 P3_생산동_1층_DS-1372(복도),15023,T1
700-36-1-1,700-36_P2 바이오프라자 방향 S/G #1 입문,14344,T2
012-10-1-1,012-10 DS-1500A(사무실정문)#60,13989,T2
701-23-2-2,701-23_P1-BP2 브릿지 S/G #3 출문,13488,T1
700-65-2-2,700-65_P4 정문동 방향 S/G #3 출문,13321,T2
700-46-1-1,700-46_P3 바이오프라자 방향 S/G #1 입문,13039,T2
701-19-1-1,701-19_P4-BP2 브릿지 S/G #6 입문,12391,T1
700-37-1-1,700-37_P2 바이오프라자 방향 S/G #2	입문,12041,T2
701-22-1-1,701-22_P1-BP2 브릿지 S/G #2 입문,11381,T1
003-4-2-2,003-04 P3_생산동_정문 SPEED GATE-4 출문,11165,T2
205-12-1-1,205-12 P4_2층_P4-AD-2923(복도-10),10981,T1
204-1-1-1,204-01 P4_2층_P4-AD-2311(사무실-1),10643,G1
523-31-1-1,523-31 P5_임시보안동 SPEED GATE-1 입문,10500,T2
701-22-2-2,701-22_P1-BP2 브릿지 S/G #2 출문,10269,T1
29-6-1-1,029-06 P3_생산동_1층_DS-1321(사무실),9625,G1
405-2-1-1,405-02 P4_4층_P4-AD-4924(복도-8),9616,T1
033-1-1-1,033-01 P3_생산동_4층_AD-4311(사무실),9525,G1
700-37-2-2,700-37_P2 바이오프라자 방향 S/G #2	출문,9480,T3
024-57-1-1,024-57-01-01 P2_DP동_2층_AD-2101(사무실),9463,G1
405-1-1-1,405-01 P4_GMP_4F_QC-4715(Corridor),9234,T1
700-1-2-2,700-01_P2-BP1 브릿지 S/G #1 출문,9120,T1
700-50-1-1,700-50_P3 좌측 바이오파크 방향 S/G #1 입문,9061,T2
523-34-1-2,523-34 P5_임시보안동 SPEED GATE-4 출문,9059,T3
701-23-1-1,701-23_P1-BP2 브릿지 S/G #3 입문,8799,T1
012-21-1-1,012-21 DS-2508A(QA 사무실)#71,8529,G1
700-3-1-1,700-03_P2-BP1 브릿지 S/G #3 입문,8445,T1
700-92-1-1,700-92 P4_생산동_정문 SPEED GATE-1 입문,8215,T2
024-21-1-1,024-21-01-01 P2_DP동_1층_AD-1705(사무실),8125,G1
700-64-1-1,700-64_P4 정문동 방향 S/G #2 입문,8114,T2
600-28-1-2,600-28 BP2_4층_P4-A2-4104(휘트니스 센터-2 출문),8075,N2
701-24-2-2,701-24_P1-BP2 브릿지 S/G #4 출문,7870,T1
700-52-2-2,700-52_P3 좌측 바이오파크 방향 S/G #3 출문,7717,T3
505-5-1-1,505-05 P4_5층_P4-AD-5924(복도-8),7707,T1
701-15-2-2,701-15_P4-BP2 브릿지 S/G #3 출문,7613,T1
024-82-1-1,024-82 P2_DS동_1층_AD-1203(People센터 좌),7602,G1
29-37-1-1,029-37 P3_생산동_1층_DS-1912(복도),7374,T1
024-69-1-1,024-69-01-01 P2_DP동_2층_AD-2101(사무실),7192,G1
700-19-1-1,700-19_P1 메인로비 S/G #3 입문,7175,N1
025-30-1-1,025-30-01-01 P2_DP동_5층_AD-5101(사무실-1),7089,G1
700-7-1-1,700-07_P3-BP1 브릿지 S/G #3-입문,7074,T1
700-19-2-2,700-19_P1 메인로비 S/G #3 출문,6936,N1
700-36-2-2,700-36_P2 바이오프라자 방향 S/G #1 출문,6918,T3
600-28-1-1,600-28 BP2_4층_P4-A2-4104(휘트니스 센터-2 입문),6887,N2
701-2-1-1,701-02 P4_생산동_2층브릿지 SPEED GATE-2 입문,6837,T1
033-29-1-1,033-29 P3_생산동_4층_AD-4401(사무실[동측]),6835,G1
701-13-1-1,701-13_P4-BP2 브릿지 S/G #1 입문,6755,T1
30-23-1-1,030-23 P3_K-GMP_1F_DS-1218(DS Entrance (M)),6744,T2
304-1-1-1,304-01 P4_3층_P4-MF-3260B(엘리베이터 전실),6590,T1
700-64-2-2,700-64_P4 정문동 방향 S/G #2 출문,6485,T2
701-10-1-1,701-10 정문동_정문 SPEED GATE-3 입문,6434,T2
700-59-2-2,700-59_P4 바이오파크 방향 S/G #1 출문,6333,T3
513-24-1-1,513-24 P5_DS동_3층_DS-3312(사무실-2),6146,G1
701-21-2-2,701-21_P1-BP2 브릿지 S/G #1 출문,6101,T1
504-1-1-1,504-01 P4_5층_P4-MF-5260B(엘리베이터 전실),5943,T1
29-40-1-1,029-40 P3_GMP_1F_DS-1215(Material Airlock(Common)),5926,G1
700-95-2-2,700-95 P4_생산동_정문 SPEED GATE-4 출문,5870,T2
700-5-2-2,700-05_P3-BP1 브릿지 S/G #1-출문,5801,T1
700-18-2-2,700-18_P1 메인로비 S/G #2 출문,5615,N1
407-1-1-1,407-01 P4_GMP_4F_QC-4311(Chromatography Test Room),5595,G1
025-31-1-1,025-31-01-01 P2_DP동_5층_AD-5101(사무실-2),5535,G1
700-15-2-2,700-15_개발동 후문 S/G #3-출문,5525,T3
404-1-1-1,404-01 P4_4층_P4-MF-4260B(엘리베이터 전실),5496,T1
513-34-1-1,513-34 P5_DS동_3층_DS-3312(사무실-2),5496,G1
103-1-1-1,103-01 P4_1층_P4-AD-1313(사무실-2),5480,G1
011-34-1-1,011-34 Q1-3002A(QC사무실A)#34,5441,G1
035-13-1-1,035-13 P3_유틸리티동_1층_UT-1020(종합통제실),5426,G1
700-47-1-1,700-47_P3 바이오프라자 방향 S/G #2 입문,5340,T2
523-17-1-1,523-17 P5_DS동_Main 로비 S/G #4 입문,5280,N1
701-24-1-1,701-24_P1-BP2 브릿지 S/G #4 입문,5209,T1
700-63-2-2,700-63_P4 정문동 방향 S/G #1 출문,5190,T2
307-3-1-1,307-03 P4_MEZZ. 3층_P4-AD-3M975(창고 -3),5173,G1
305-2-1-1,305-02 P4_3층_P4-AD-3924(복도-11),5166,T1
700-18-1-1,700-18_P1 메인로비 S/G #2 입문,5141,N1
511-42-1-1,511-42 P5_DS동_3층_DS-3311(사무실-1),5123,G1
700-51-1-1,700-51_P3 좌측 바이오파크 방향 S/G #2 입문,5065,T2
700-2-2-2,700-02_P2-BP1 브릿지 S/G #2 출문,5008,T1
205-9-1-1,205-09 P4_2층_P4-AD-2924(복도-11),4998,T1
024-86-1-1,024-86 P2_DS동_1층_AD-1203(People센터 우),4939,G1
700-6-1-1,700-06_P3-BP1 브릿지 S/G #2-입문,4937,T1
700-51-2-2,700-51_P3 좌측 바이오파크 방향 S/G #2 출문,4936,T3
700-38-1-1,700-38_P2 바이오프라자 방향 S/G #3	 입문,4934,T2
29-39-1-1,029-39 P3_K-GMP_1F_DS-1211(DS Entrance (W)),4932,T2
011-44-1-1,011-44 P1_3F_Q1-3106(QC Corridor 2),4926,T1
511-51-1-1,511-51 P5_DS동_3층_DS-3311(사무실-1),4844,G1
701-14-1-1,701-14_P4-BP2 브릿지 S/G #2 입문,4842,T1
516-46-1-1,516-46 P5_MS동_3층_MS-3311(사무실),4835,G1
700-50-2-2,700-50_P3 좌측 바이오파크 방향 S/G #1 출문,4823,T3
403-4-1-1,403-04 P4_GMP_4F_QC-4521(Storage-6),4726,G1
033-19-1-1,033-19 P3_생산동_4층_AD-4359(사무실[남측]),4699,G1
701-15-1-1,701-15_P4-BP2 브릿지 S/G #3 입문,4686,T1
700-15-1-1,700-15_개발동 후문 S/G #3-입문,4678,T2
515-64-1-1,515-64 P5_DS동_3층_DS-3351(탕비실-A),4659,G1
025-72-1-1,025-72 P2_GMP_4F_AD-4101(MBR Review room),4634,G1
700-2-1-1,700-02_P2-BP1 브릿지 S/G #2 입문,4612,T1
403-1-1-1,403-01 P4_4층_P4-AD-4913(복도-2),4567,T1
024-15-1-1,024-15-01-01 P2_DP동_1층_WH-1705(사무실),4563,G1
003-2-1-1,003-02 P3_생산동_정문 SPEED GATE-2 입문,4431,T2
701-14-2-2,701-14_P4-BP2 브릿지 S/G #2 출문,4368,T1
205-5-1-1,205-05 P4_2층_P4-AD-2311(사무실-1),4366,G1
700-44-2-2,700-44_P2 도크장 방향 S/G #2 출문,4261,T3
105-15-1-1,105-15 P4_GMP_1F_SA-1181(MATERIAL A/L),4222,G1
014-22-1-1,014-22 W1-2112(물류관리사무실)#182,4144,G1
600-27-1-1,600-27 BP2_4층_P4-A2-4101(휘트니스 센터-1 입문),4087,N2
52-53-1-1,52-53 ADC_3F_MF-3305(OFFICE 사무실),4081,G1
033-57-1-1,033-57 P3_생산동_4층_QC-4319(사무실 복도-2),4041,T1
523-14-1-2,523-14 P5_DS동_Main 로비 S/G #1 출문,4023,N1
403-2-1-1,403-02 P4_4층_P4-AD-4312(사무실-2)_A,4011,G1
505-8-1-1,505-08 P4_5층_P4-MF-5311(사무실),4002,G1
502-7-1-1,502-07 P4_5층_P4-WH-5311(사무실)_A,3996,G1
700-63-1-1,700-63_P4 정문동 방향 S/G #1 입문,3940,T2
523-33-1-2,523-33 P5_임시보안동 SPEED GATE-3 출문,3875,T3
105-16-1-1,105-16 P4_GMP_1F_SA-1183(DS4A ENTRANCE(M)),3873,T2
405-12-1-1,405-12 P4_4층_P4-AD-4921(복도-5),3855,T1
700-17-2-2,700-17_P1 메인로비 S/G #1 출문,3837,N1
700-6-2-2,700-06_P3-BP1 브릿지 S/G #2-출문,3813,T1
403-3-1-1,403-03 P4_GMP_4F_QC-4520(Corridor),3633,T1
700-1-1-1,700-01_P2-BP1 브릿지 S/G #1 입문,3621,T1
023-35-1-1,023-35 P2_K-GMP_1F_DS-1305(DS Gowning (M)),3572,G2
700-17-1-1,700-17_P1 메인로비 S/G #1 입문,3529,N1
516-44-1-1,516-44 P5_MS동_3층_MS-3311(사무실),3516,G1
406-7-1-1,406-07 P4_GMP_4F_QC-4640(Corridor),3504,T1
303-1-1-1,303-01 P4_3층_P4-AD-3925(복도-12),3498,T1
023-37-1-1,023-37 P2_K-GMP_1F_DS-1303(DS Gowning (W)),3470,G2
307-1-1-1,307-01 P4_MEZZ. 3층_P4-MF-3M260B(엘리베이터 전실),3450,T1
523-28-1-1,523-28 P5_MS동_보안동 방향 S/G #2 입문,3448,T2
700-52-1-1,700-52_P3 좌측 바이오파크 방향 S/G #3 입문,3410,T2
303-8-1-1,303-08 P4_GMP_3F_AD-3977(Document Room-2),3375,G1
105-19-1-1,105-19 P4_GMP_1F_SA-1190(DS4A ENTRANCE(W)),3357,T2
700-59-1-1,700-59_P4 바이오파크 방향 S/G #1 입문,3318,T2
516-16-1-1,516-16 P5_MS동_1층_MS-1972(사무실),3255,G1
523-15-1-2,523-15 P5_DS동_Main 로비 S/G #2 출문,3225,N1
033-51-1-1,033-51 P3_GMP_4F_QC-4171(Corridor ? 1),3206,T1
700-47-2-2,700-47_P3 바이오프라자 방향 S/G #2 출문,3199,T3
700-46-2-2,700-46_P3 바이오프라자 방향 S/G #1 출문,3186,T3
406-4-1-1,406-04 P4_GMP_4F_QC-4311(Chromatography Test Room),3122,G1
600-21-1-2,600-21 BP2_3층_P4-A2-3108(복도-2 출문),3120,T1
31-41-1-1,031-41 P3_생산동_2층_WH-2311(사무실),3105,G1
523-28-1-2,523-28 P5_MS동_보안동 방향 S/G #2 출문,3087,T3
